ᎠᎦ	ạ²ga²	a2ga2
ᎯᎪᏩᏔ	hị²go¹wah²ta²	hi2goo1wah2ta2
ᎯᎴᎪᎢ	hịɂ³le¹go³ɂi	hi-3lee1goo3-i
ᎯᏯᏚᎳ	hi²yạ²du²³la	hii2ya2duu23la
ᎯᏯᏚᎳ	hi²yạ²du²³la²	hii2ya2duu23la2
ᎯᏲᎵᎦ	hi²yo²li¹ga	hii2yoo2lii1ga
ᎯᏲᎵᎦ	hi²yo²li¹ga²	hii2yoo2lii1ga2
ᎯᏲᎵᎩ	hi²yo²li¹gi	hii2yoo2lii1gi
ᎰᎵᎪᎢ	hohl²go³ɂi	hohl2goo3-i
ᏍᎩᏂᏥ	sgị²ni²ji	sgi2nii2ji
ᏍᎩᏙᏓ	sgị²do²da	sgi2doo2da
ᏍᏆᏚᎳ	sgwạ²du²³la	sgwa2duu23la
ᏍᏆᏚᎳ	sgwạ²du²³la²	sgwa2duu23la2
ᏍᏉᎵᎦ	sgwo²li¹ga	sgwoo2lii1ga
ᏍᏉᎵᎦ	sgwo²li¹ga²	sgwoo2lii1ga2
ᏍᏉᎵᎩ	sgwo²li¹gi	sgwoo2lii1gi
ᏍᏓᏗᎭ	sdạ²dị²ha	sda2di2ha
ᏍᏓᏘᏗ	sdạt²di	sdat2di
ᏍᏓᏚᎳ	sdạ²du²³la	sda2duu23la
ᏍᏓᏚᎳ	sdạ²du²³la²	sda2duu23la2
ᏍᏕᎪᎢ	sde³gọ³ɂi	sdee3go3-i
ᏍᏗᎩᎠ	sdi²gị³ɂa	sdii2gi3-a
ᏍᏗᎬᎢ	sdi²gv²³ɂi	sdii2gvv23-i
ᏍᏗᎰᎢ	sdi²ho³ɂi	sdii2hoo3-i
ᏍᏗᎲᎢ	sdi²hv²³ɂi	sdii2hvv23-i
ᏍᏗᎴᎦ	sdiɂ³le¹ga	sdi-3lee1ga
ᏍᏗᎷᎦ	sdiɂ²lu¹ga	sdi-2luu1ga
ᏍᏗᎷᎦ	sdiɂ²lu¹ga²	sdi-2luu1ga2
ᏍᏗᏙᏓ	sdi²do²da	sdii2doo2da
ᏍᏙᎵᎦ	sdohl²ga	sdohl2ga
ᏍᏙᎵᎦ	sdohl²ga²	sdohl2ga2
ᏍᏙᎵᎩ	sdohl²gi	sdohl2gi
ᏍᏛᏙᏓ	sdv²do²da	sdvv2doo2da
ᏓᎩᎬᎢ	da¹gị²gv²³ɂi	daa1gi2gvv23-i
ᏓᎩᎰᎢ	da¹gị²ho³ɂi	daa1gi2hoo3-i
ᏓᎩᎲᎢ	da¹gị²hv²³ɂi	daa1gi2hvv23-i
ᏓᎪᏩᏔ	dạ²go¹wah²ta²	da2goo1wah2ta2
ᏓᏂᎩᎠ	da¹ni²gị³ɂa	daa1nii2gi3-a
